video_id,index,trending_date,title,publish_time,views,likes,dislikes,comment_count,category,publish_year,publish_month,publish_day,publish_Week_day,publish_hour
Jw1Y-zhQURU,0,2017-11-14,John Lewis Christmas Ad 2017 - #MozTheMonster,2017-11-10 07:38:29+00:00,7224515,55681,10247,9479,Howto & Style,2017,11,10,Fri,7
MyEqfBkzESU,1,2017-11-14,EXTREME GOLDEN TAN TRANSFORMATION,2017-11-10 20:40:44+00:00,300617,8133,2693,2911,Howto & Style,2017,11,10,Fri,20
b4vTZx_AtHk,2,2017-11-14,How To Dry a Shirt in 30 Seconds,2017-11-09 18:36:48+00:00,2063667,98804,11682,11443,Howto & Style,2017,11,9,Thu,18
OWvCCu2t6Ts,3,2017-11-14,SO Much To Tell You | 32 Weeks Pregnant | MOTHERHOOD,2017-11-10 16:59:50+00:00,238843,10028,248,650,Howto & Style,2017,11,10,Fri,16
9GqL1DSQDL0,4,2017-11-14,GET READY WITH ME + LILY! (we're so immature bye),2017-11-09 22:00:00+00:00,332967,22303,700,1523,Howto & Style,2017,11,9,Thu,22
RYs08kX3Ih4,5,2017-11-14,SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY,2017-11-10 01:30:00+00:00,219030,14303,398,1099,Howto & Style,2017,11,10,Fri,1
q-WipZ9p0wk,6,2017-11-14,Three meals that cost me $1.50 each,2017-11-09 14:00:08+00:00,77630,1991,83,208,Howto & Style,2017,11,9,Thu,14
510KQ_LXGww,7,2017-11-14,My Every Day Autumn Makeup | Zoella,2017-11-08 18:24:16+00:00,1390440,86207,1775,710,Howto & Style,2017,11,8,Wed,18
ZwIuff3270M,8,2017-11-14,Corey Haim's Mom Talks to Dr. Oz,2017-11-10 15:02:20+00:00,42479,42,8,98,Howto & Style,2017,11,10,Fri,15
CR9zYgr84QY,9,2017-11-14,Chocolate Orange Autumn Cupcakes | Cupcake Jemma,2017-11-09 18:30:01+00:00,122669,5723,55,263,Howto & Style,2017,11,9,Thu,18
sF1l7v3XY6I,10,2017-11-14,MY WARDROBE TOUR | Samantha Maria,2017-11-08 19:09:56+00:00,104865,5039,101,271,Howto & Style,2017,11,8,Wed,19
sLJdBmAeB_U,11,2017-11-14,COME SHOPPING WITH ME AND TRY ON NEW CLOTHING FOR AUTUMN | VLOG 49,2017-11-07 19:00:50+00:00,87772,2617,86,192,Howto & Style,2017,11,7,Tue,19
