video_id,index,trending_date,title,views,likes,dislikes,comment_count,category,trending_year,trending_month,trending_day,trending_week_day
Jw1Y-zhQURU,0,2017-11-14,John Lewis Christmas Ad 2017 - #MozTheMonster,7224515,55681,10247,9479,Howto & Style,2017,11,14,Tue
MyEqfBkzESU,1,2017-11-14,EXTREME GOLDEN TAN TRANSFORMATION,300617,8133,2693,2911,Howto & Style,2017,11,14,Tue
b4vTZx_AtHk,2,2017-11-14,How To Dry a Shirt in 30 Seconds,2063667,98804,11682,11443,Howto & Style,2017,11,14,Tue
OWvCCu2t6Ts,3,2017-11-14,SO Much To Tell You | 32 Weeks Pregnant | MOTHERHOOD,238843,10028,248,650,Howto & Style,2017,11,14,Tue
9GqL1DSQDL0,4,2017-11-14,GET READY WITH ME + LILY! (we're so immature bye),332967,22303,700,1523,Howto & Style,2017,11,14,Tue
RYs08kX3Ih4,5,2017-11-14,SECRETS REVEALED! HOW I LAY MY LACE WIGS! | AALIYAHJAY,219030,14303,398,1099,Howto & Style,2017,11,14,Tue
q-WipZ9p0wk,6,2017-11-14,Three meals that cost me $1.50 each,77630,1991,83,208,Howto & Style,2017,11,14,Tue
510KQ_LXGww,7,2017-11-14,My Every Day Autumn Makeup | Zoella,1390440,86207,1775,710,Howto & Style,2017,11,14,Tue
ZwIuff3270M,8,2017-11-14,Corey Haim's Mom Talks to Dr. Oz,42479,42,8,98,Howto & Style,2017,11,14,Tue
CR9zYgr84QY,9,2017-11-14,Chocolate Orange Autumn Cupcakes | Cupcake Jemma,122669,5723,55,263,Howto & Style,2017,11,14,Tue
sF1l7v3XY6I,10,2017-11-14,MY WARDROBE TOUR | Samantha Maria,104865,5039,101,271,Howto & Style,2017,11,14,Tue
sLJdBmAeB_U,11,2017-11-14,COME SHOPPING WITH ME AND TRY ON NEW CLOTHING FOR AUTUMN | VLOG 49,87772,2617,86,192,Howto & Style,2017,11,14,Tue
FmYMq9EHhdE,12,2017-11-14,HER FIRST STEPS! INDIE THE EWOK & THE BEST FACIAL | VLOG,192138,6909,158,523,Howto & Style,2017,11,14,Tue
hIwRdDcQBEU,13,2017-11-14,My Coat Collection | Amelia Liana,51301,1654,87,166,Howto & Style,2017,11,14,Tue
tSjvx_c4meE,14,2017-11-14,I'M BACK! 31 DAYS OFFLINE | Lily Pebbles,165847,6850,378,836,Howto & Style,2017,11,14,Tue
L99Bi097wak,15,2017-11-14,My High-Street Style Favourites | The Anna Edit,79683,2470,96,120,Howto & Style,2017,11,14,Tue
xxWXD073Ql0,16,2017-11-14,The Questions I've Never Answered | Tanya Burr,313094,11311,428,241,Howto & Style,2017,11,14,Tue
kRDb2X3gFmo,17,2017-11-14,5 Days Of Activated Charcoal | Try Living With Lucie | Refinery29,136475,2764,271,440,Howto & Style,2017,11,14,Tue
twjTkBN3Q9A,18,2017-11-14,Gabrielle Union Impersonates DMX While Eating Spicy Wings | Hot Ones,1172090,27245,931,4899,Howto & Style,2017,11,14,Tue
acIRvVxB4go,19,2017-11-15,DRESSED UP IN ALL DOLCE AND GABBANA | VLOG 51,27065,1102,36,139,Howto & Style,2017,11,15,Wed
RDP8Oh-br4Y,20,2017-11-15,BRUNCH WITH GIGI & GETTING A BETTER BUM,58290,2369,78,201,Howto & Style,2017,11,15,Wed
EvWPqF_AQHI,21,2017-11-15,DESIGNER AUTUMN HAUL! | Amelia Liana,76238,2152,144,400,Howto & Style,2017,11,15,Wed
ph2RlcltYdM,22,2017-11-15,WHAT I BOUGHT LAST MONTH: AUTUMN HAUL | Lily Pebbles,92705,2620,124,220,Howto & Style,2017,11,15,Wed
NcVxrr_q3Hw,27,2017-11-15,George Durack | Remembrance Sunday | You Can't Forget,1505,88,12,40,Howto & Style,2017,11,15,Wed
icqp_XDH_BI,58,2017-11-17,£99 Baby Charity Haul! | MOTHERHOOD,65647,3968,77,330,Howto & Style,2017,11,17,Fri
IY-M93e2lok,59,2017-11-17,LAST MINUTE SHOPPING FOR OUR TRIP TO VEGAS | VLOG 52,29455,1183,23,116,Howto & Style,2017,11,17,Fri
6epjkX1sr2M,60,2017-11-17,What To Buy HER: Christmas 2017 | FleurDeForce,129777,4471,140,372,Howto & Style,2017,11,17,Fri
hpapqEeb36k,61,2017-11-17,Pumpkin Pie - You Suck at Cooking (episode 68),677167,31301,747,1690,Howto & Style,2017,11,17,Fri
0ANDjPQPS_Q,81,2017-11-18,♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,25796,2842,84,502,Howto & Style,2017,11,18,Sat
4zD4HPlc-BE,99,2017-11-19,Ricky Rebel - Time,21500,66,3,11,Howto & Style,2017,11,19,Sun
S-iiG3-4FJ8,135,2017-11-21,WE'RE MOVING! | Lily Pebbles,122983,7566,110,707,Howto & Style,2017,11,21,Tue
0oXu0XfXYYE,136,2017-11-21,Youtube Show & Tell | Tag | Zoella,903796,56060,2403,5554,Howto & Style,2017,11,21,Tue
Djxjmq9pvrM,137,2017-11-21,What To Buy HIM: Christmas 2017 | FleurDeForce,118227,3598,165,362,Howto & Style,2017,11,21,Tue
FVwR2zK_Ahs,138,2017-11-21,DAILY ROUTINE | Mum & Baby,136008,12904,52,755,Howto & Style,2017,11,21,Tue
Ssvv40iz-Ls,139,2017-11-21,TOP 5 LUXURY HANDBAGS FOR AUTUMN WINTER,40829,1618,73,142,Howto & Style,2017,11,21,Tue
hq9SEUlkZ5s,140,2017-11-21,My Very POSITIVE Birth Plan | MOTHERHOOD,136549,6856,108,653,Howto & Style,2017,11,21,Tue
wsXxfgJZ4E4,141,2017-11-21,"ASOS UNBOXING HAUL, LESSONS & SUSHI",374603,11020,406,298,Howto & Style,2017,11,21,Tue
Da2crn5NXc4,177,2017-11-23,Easy Festive DIY Ideas | Zoella,431883,40912,1134,2174,Howto & Style,2017,11,23,Thu
8vambqBQVwk,178,2017-11-23,WORTH THE HYPE?? GIGI HADID X MAYBELLINE,37270,1516,71,208,Howto & Style,2017,11,23,Thu
taxAD2LePy8,179,2017-11-23,Full Face of WOMEN OWNED Beauty Brands! | Jackie Aina,295351,29424,293,3268,Howto & Style,2017,11,23,Thu
fIElFIuzGLI,180,2017-11-23,TESTING OUT THE *NEW* KYLIE JENNER HOLIDAY MAKEUP,89763,3217,342,543,Howto & Style,2017,11,23,Thu
CWrjDoEBQsw,181,2017-11-23,How To Make A THANKSGIVING ROAST HAM Out Of Pink Vanilla CAKE | Yolanda Gampp | How To Cake It,452087,19249,223,1944,Howto & Style,2017,11,23,Thu
X5DWRXTOUD0,182,2017-11-23,THINGS PARENTS DO ON CHRISTMAS | MYLIFEASEVA,571588,38843,1342,3181,Howto & Style,2017,11,23,Thu
KrxDhokzEv4,266,2017-11-28,Razer Phone Durability test - Scratch BURN and BEND tested!,388786,18376,412,3290,Howto & Style,2017,11,28,Tue
_UlPkHa4POE,267,2017-11-28,SPILL YOUR GUTS FILL YOUR GUTS ft. CASPAR LEE l Olivia Jade,212160,14365,127,558,Howto & Style,2017,11,28,Tue
wEkCf0IVAV4,268,2017-11-28,"ASOS HAUL, UNBOXING & TRY ON! | Black Friday & Cyber Monday",61467,1683,85,53,Howto & Style,2017,11,28,Tue
aQzai9oXb-g,269,2017-11-28,Trying On Wedding Dresses | November Vlog Pt. 1,333229,13841,233,903,Howto & Style,2017,11,28,Tue
QgaYsdnOMiM,283,2017-11-29,How To Make A GIANT CANDY CANE Cake w. SURPRISE INSIDE | PEPPERMINT MOCHA | How To Cake It,317866,16780,184,1699,Howto & Style,2017,11,29,Wed
NuKHa6c2LuU,284,2017-11-29,Cupcake Jemma Merch is here! | Cupcake Jemma,20823,1638,31,222,Howto & Style,2017,11,29,Wed
exYLX9xGoyo,285,2017-11-29,PRINCESS PEACH CAKE - SUPER MARIO - NERDY NUMMIES,309795,20227,134,3475,Howto & Style,2017,11,29,Wed
bkwLxcfcKTY,290,2017-11-29,PEACH MACARONS - The Scran Line,43885,2210,71,274,Howto & Style,2017,11,29,Wed
2nshBD9EbxE,291,2017-11-29,How to make a Wooden Katana from hardwood flooring // Woodworking,1006214,24881,496,1253,Howto & Style,2017,11,29,Wed
tMLy3u0I8VI,292,2017-11-29,How To Remove Heavy Makeup Tutorial | John Maclean,107513,5063,143,952,Howto & Style,2017,11,29,Wed
Z8qKEQhBdAg,293,2017-11-29,THREE OUTFITS AND LOTS OF FOOD AT DISNEYWORLD | VLOG 54,48454,1706,37,152,Howto & Style,2017,11,29,Wed
lR-oJvKJyUY,295,2017-11-29,Cheese Expert Guesses Cheap vs Expensive Cheeses | Epicurious,1273655,26474,1380,3106,Howto & Style,2017,11,29,Wed
SLJYTr78NUQ,304,2017-11-30,WHAT I'M LOVING THIS MONTH | November,58571,2958,28,319,Howto & Style,2017,11,30,Thu
Q0hEOLm6Wrs,305,2017-11-30,LIVING IN THE MOMENT | Amelia Liana,21533,1458,93,116,Howto & Style,2017,11,30,Thu
IjKdDRfJGT8,313,2017-11-30,ZARA + TOPSHOP HAUL + TRY ON | Hello October,89589,2579,100,125,Howto & Style,2017,11,30,Thu
TNRrY8m71u4,332,2017-12-01,POOL OF SQUISHIES - Japan Vlog,38479,2499,20,347,Howto & Style,2017,12,1,Fri
6rCBG57gQJ8,347,2017-12-02,What I've Bought Darcy For Christmas! | MOTHERHOOD,200552,10633,140,516,Howto & Style,2017,12,2,Sat
NxuwtI5Jp_0,348,2017-12-02,IT'S NOT GONNA GET ANY BETTER THAN THIS | VLOG 55,34644,1808,51,338,Howto & Style,2017,12,2,Sat
J2kNt-PHayo,349,2017-12-02,Winter BEAUTY HAUL | Fleur De Force,110552,3799,67,292,Howto & Style,2017,12,2,Sat
pfYEiDg67AI,350,2017-12-02,Jeremy Corbyn | Bankers like Morgan Stanley should not run our country,9753,770,207,409,Howto & Style,2017,12,2,Sat
03RQLmDNIEw,412,2017-12-05,Flying Home For Christmas | Vlogmas Days 1 & 2,243420,10374,292,387,Howto & Style,2017,12,5,Tue
8ZivfJUezjA,413,2017-12-05,What I Got For My BABY SHOWER | Fleur De Force,132862,4678,128,435,Howto & Style,2017,12,5,Tue
Bze3VoLmTTs,414,2017-12-05,HIS & HERS BOUJEE NIGHT OUT! VLOGMAS WEEK 1,203468,10530,142,1024,Howto & Style,2017,12,5,Tue
Bhg9I26EghQ,415,2017-12-05,WHAT I'VE BEEN UP TO (AN EMOTIONAL VIDEO DIARY) | Lily Pebbles,94645,4034,242,387,Howto & Style,2017,12,5,Tue
gxaoefdyJRM,416,2017-12-05,"I GOT SO ILL IN CHICAGO |  SHOPPING, BAKING AND CHILL TIME | VLOG 56",42336,1353,43,178,Howto & Style,2017,12,5,Tue
H83cVi2sCJM,417,2017-12-05,RUNNING OUT THE DOOR! GRWM | ad,56046,4213,129,169,Howto & Style,2017,12,5,Tue
VquESKGqsDI,418,2017-12-05,FULL FACE USING FREE SAMPLES?! | sophdoesnails,204101,10971,75,867,Howto & Style,2017,12,5,Tue
hVEgTsmBDw0,419,2017-12-05,TOP 10 VEGAN PRODUCTS – OF ALL TIME !,31483,1818,26,176,Howto & Style,2017,12,5,Tue
M5zO1XSmOg4,435,2017-12-06,ORGANISING MY MUM'S CLOSET! | Vlogmas Day 4,35215,1235,44,136,Howto & Style,2017,12,6,Wed
Q4FZi6_DUO8,475,2017-12-08,Christmas Primark Haul! | LIFESTYLE,107558,6607,164,338,Howto & Style,2017,12,8,Fri
YkG4Yvwucxo,476,2017-12-08,New Christmas Dresses Try on Haul & An Emotional Day! | Vlogmas Day 6,37789,1253,62,263,Howto & Style,2017,12,8,Fri
KMmXvAncPqk,477,2017-12-08,HUGE ASOS HAUL! THE BEST FINDS | Samantha Maria,82245,4358,67,273,Howto & Style,2017,12,8,Fri
Kap77SLzVyI,478,2017-12-08,A NEW WAY TO SHOP | Lily Pebbles,48778,1760,108,150,Howto & Style,2017,12,8,Fri
vgX5M1eVhyw,479,2017-12-08,Carla Makes Granola Cluster Cookies | From the Test Kitchen | Bon Appétit,29196,1033,26,95,Howto & Style,2017,12,8,Fri
s3oogx4roPI,499,2017-12-09,Easy Quick Holiday Glam!,44490,5705,56,325,Howto & Style,2017,12,9,Sat
YBT_rfVxY5A,531,2017-12-12,HUGE Lush Haul & Baby Sphynx Cuddles | Vlogmas Days 8 To 10,130199,4739,156,212,Howto & Style,2017,12,12,Tue
NWGguhHrzpw,532,2017-12-12,"WEEKEND MADNESS, PODCASTS I'M LISTENING TO & SNOW! | VLOGMAS",66193,3742,52,589,Howto & Style,2017,12,12,Tue
sWVUjFXV9Yg,533,2017-12-12,GETTING FESTIVE | Lily Pebbles,77961,3139,111,138,Howto & Style,2017,12,12,Tue
vfqeeScKVyc,534,2017-12-12,19 CHRISTMAS PARTY OUTFITS: ASOS HAUL AND TRY ON,80945,4194,106,551,Howto & Style,2017,12,12,Tue
